2026-06-28 00:13:23,967 | INFO | house-price-prediction | loading datasets
2026-06-28 00:13:23,979 | INFO | house-price-prediction | total records: 20640
2026-06-28 00:13:23,979 | INFO | house-price-prediction | train and test splitting of data started....
2026-06-28 00:13:23,985 | INFO | house-price-prediction | train and test splitting of data completed....
2026-06-28 00:13:29,579 | INFO | house-price-prediction | average error: $32,773
2026-06-28 00:13:29,579 | INFO | house-price-prediction | R2 score: 0.805
2026-06-28 00:14:00,329 | INFO | house-price-prediction | loading datasets
2026-06-28 00:14:00,344 | INFO | house-price-prediction | total records: 20640
2026-06-28 00:14:00,345 | INFO | house-price-prediction | train and test splitting of data started....
2026-06-28 00:14:00,348 | INFO | house-price-prediction | train and test splitting of data completed....
2026-06-28 00:14:05,971 | INFO | house-price-prediction | average error: $32,773
2026-06-28 00:14:05,971 | INFO | house-price-prediction | R2 score: 0.805
